MultiAsset,GSPC,RUA,GDAXI,FTSE,N225,EEM,DJCBTI,GREXP,BG05.L,GLD
2004-11-30,1173.82,670.84,4126,4703.2,10899.25,19.5,131.69,302.6,151.93,45.12
2004-12-31,1211.92,693.63,4273.805,4814.3,11498.4233333333,20.43,132.97,303.8,152.88,43.8
2005-01-31,1181.27,674.54,4254.85,4852.3,11387.59,20.32,133.47,306.63,152.46,42.22
2005-02-28,1203.6,688.05,4350.49,4968.5,11740.6,22.29,131.73,305.64,150.47,43.52
2005-03-31,1180.59,675.45,4348.77,4894.4,11668.95,20.53,131.15,306.7,150.92,42.82
2005-04-29,1156.85,660.02,4184.84,4801.7,11005.505,20.27,133.703333333333,311.74,153.09,43.35
2005-05-31,1191.5,683.87,4460.63,4964,11276.59,20.91,135.02,313.99,153.5,41.65
2005-06-30,1191.33,687.61,4586.28,5113.2,11584.01,21.74,135.46,317.11,155.68,43.44
2005-07-29,1234.18,715.02,4886.5,5282.3,11899.6,23.41,132.75,315.91,154.51,42.82
2005-08-31,1220.33,706.84,4829.69,5296.9,12413.6,23.72,134.96,317.78,155.01,43.4
2005-09-30,1228.81,712.21,5044.12,5477.7,13574.3,25.77,132.42,317.62,154.4,46.7
2005-10-31,1207.01,698.14,4929.07,5317.3,13606.5,24.14,130.74,313.92,154.56,46.4
2005-11-30,1249.48,723.62,5193.4,5423.2,14872.15,25.54,131.04,314.3,154.42,49.1
2005-12-30,1248.29,723.31,5408.26,5618.8,16111.43,27.1,132.1,316.2,156.58,51.58
2006-01-31,1280.08,746.77,5674.15,5760.3,16649.82,30.94,131.07,314.69,157.44,56.7
2006-02-28,1280.66,746.57,5796.04,5791.5,16205.43,29.75,130.65,314.77,155.97,56.07
2006-03-31,1294.87,758.45,5970.08,5964.6,17059.66,30.4,128.75,311.5,153.62,58.1
2006-04-28,1310.61,765.81,6009.89,6023.1,16906.23,32.38,127.76,309.69,151.65,65.09
2006-05-31,1270.09,739.78,5692.86,5723.8,15467.33,28.77,127.18,311.81,150.83,64.23
2006-06-30,1270.2,740.14,5683.31,5833.4,15505.18,28.83,127.13,310.13,151.630689655172,61.23
2006-07-31,1276.66,738.69,5681.97,5928.3,15456.81,29.51,128.44,313.3,151.73,63.16
2006-08-31,1303.82,755.09,5859.57,5906.1,16140.76,29.97,129.99,315.58,151.54,62.29
2006-09-29,1335.85,771.07,6004.33,5960.8,16127.58,29.71,130.79,318.45,152.09,59.47
2006-10-31,1377.94,798.05,6268.92,6129.2,16399.39,31.81,130.94,317.27,153.35,60.24
2006-11-30,1400.63,813.57,6309.19,6048.8,16274.33,33.71,131.92,319.86,151.61,64.39
2006-12-29,1418.3,822.13,6596.92,6220.8,17225.83,35.55,129.95,317.05,149.85,63.21
2007-01-31,1438.24,836.96,6789.11,6203.1,17383.42,35.59,129.07,315.8,147.63,64.83
2007-02-28,1406.82,821.51,6715.44,6171.5,17604.12,34.44,131.15,319.06,148.4,66.48
2007-03-30,1420.86,829.05,6917.03,6308,17287.65,36.28,130.51,318.65,146.74,65.74
2007-04-30,1482.37,861.38,7408.87,6449.2,17337.695,37.63,130.71,317.17,146.32,67.09
2007-05-31,1530.62,890.95,7883.04,6621.4,17875.75,39.54,128.51,315.93,143.04,65.54
2007-06-29,1503.35,873.19,8007.32,6607.9,18138.36,40.99,127.73,314.75,141.49,64.27
2007-07-31,1455.27,843.89,7584.14,6360.1,17248.89,41.28,129.74,318.17,144.87,65.79
2007-08-31,1473.99,852.98,7638.17,6303.3,16569.09,41.71,131.7,321.38,145.48,66.52
2007-09-28,1526.75,882.79,7861.51,6466.8,16785.69,46.54,131.94,321.24,145.36,73.51
2007-10-31,1549.38,898.07,8019.22,6721.6,16737.63,52.06,132.68,325.07,146.62,78.62
2007-11-30,1481.14,855.85,7870.52,6432.5,15680.67,48.08,137.03,329.57,147.27,77.32
2007-12-31,1468.36,849.22,8008.215,6456.9,15153.6875,47.4,137.03,325.045,149.78,82.46
2008-01-31,1378.55,796.83,6851.75,5879.8,13592.47,43.17,140.84,333.54,149.910394736842,91.4
2008-02-29,1330.63,770.45,6748.13,5884.3,13603.02,44.04,142.57,337.41,149.283157894737,96.18
2008-03-31,1322.7,764.63,6534.97,5702.1,12525.54,42.38,143.2,339.39,148.655921052632,90.41
2008-04-30,1385.59,802.02,6948.82,6087.3,13849.99,46.26,140.31,336.84,147.998815789474,86.65
2008-05-30,1400.38,816.81,7096.79,6053.5,14338.54,47.72,138.2,331.48,143.72,87.45
2008-06-30,1280,748.1,6418.32,5625.9,13481.38,42.81,139.63,328.66,142.74,91.4
2008-07-31,1267.38,741.12,6479.56,5411.9,13376.81,40.45,140.45,330.9,146.08,90.08
2008-08-29,1282.83,751.13,6422.3,5636.6,13072.87,37.89,142.47,338.04,147.62,81.71
2008-09-30,1166.36,678.5,5831.02,4902.5,11259.86,32.33,142.6,340.64,147.66,85.07
2008-10-31,968.75,557.84,4987.97,4377.3,8576.98,24.06,141.47,346.77,148.13,71.34
2008-11-28,896.24,512.23,4669.44,4288,8512.27,21.72,152.61,354.63,152.97,80.31
2008-12-31,903.25,520.6,4891.635,4434.2,8920.74666666667,23.96,158.41,358.655,160.83,86.52
2009-01-30,825.88,476.26,4338.35,4149.6,7994.05,21.73,154.04,356.29,153.53,91.31
2009-02-27,735.09,424.88,3843.74,3830.1,7568.42,20.37,152.78,361.56,154.08,92.63
2009-03-31,797.87,461.14,4084.76,3926.1,8109.53,23.81,157.31,366.1,157.83,90.28
2009-04-30,872.81,508.91,4769.45,4243.7,8828.26,27.51,153.31,364.52,155.81,87.27
2009-05-29,919.14,534.75,4940.82,4417.9,9522.5,31.89,151.13,361.09,152.53,96.2
2009-06-30,919.32,535.62,4808.64,4249.2,9958.44,31.18,150.55,365.2,153.97,91.18
2009-07-31,987.48,576.56,5332.14,4608.4,10356.83,34.61,151.51,364.79,152.72,93.35
2009-08-31,1020.62,595.86,5458.04,4864.3,10492.53,34.16,153.12,368.15,156.625,93.4
2009-09-30,1057.08,619.87,5675.16,5133.9,10133.23,37.64,154.62,369.64,156.91,98.85
2009-10-30,1036.19,603.26,5414.96,5044.5,10034.74,36.34,154.68,372.19,156.48,102.53
2009-11-30,1095.63,636.04,5625.95,5190.7,9345.55,39.2,157.82,376.93,156.32,115.64
2009-12-31,1115.1,653.13,6002.865,5412.9,10600.615,40.48,152.29,375.18,152.13,107.31
2010-01-29,1073.87,628.99,5608.79,5188.5,10198.04,37.34,155.62,377.34,153.17,105.96
2010-02-26,1104.49,648.9,5598.46,5354.5,10126.03,38,156.41,380.9,150.87,109.43
2010-03-31,1169.43,688.74,6153.55,5679.6,11089.94,41.08,154.73,382.77,152.02,108.95
2010-04-30,1186.69,702.94,6135.7,5553.3,11057.4,41.02,156.86,385.2,153.01,115.36
2010-05-31,1080.06,639.78,5964.33,5175.85,9768.7,36.82,159.84,392.46,155.115,119.395
2010-06-30,1030.71,607.92,5965.52,4916.9,9382.64,36.64,163.53,394.19,157.44,121.68
2010-07-30,1101.6,649.39,6147.97,5258,9537.3,40.65,165.37,388.67,156.9,115.49
2010-08-31,1049.33,617.48,5925.22,5225.2,8824.06,39.33,169.23,400.19,162.02,122.08
2010-09-30,1141.2,674.75,6229.02,5548.6,9369.35,43.96,169.5,398.49,161.09,127.91
2010-10-29,1183.26,700.37,6601.37,5675.2,9202.45,45.28,169.39,394.42,158.89,132.62
2010-11-30,1180.55,702.92,6688.49,5528.3,9937.04,43.97,167.67,396.11,156.64,135.42
2010-12-31,1257.64,749.48,6914.19,5899.9,10285.3133333333,47.17,163.37,390.585,156.38,138.72
2011-01-31,1286.12,765.14,7077.48,5862.9,10237.92,45.36,163.71,383.93,153.34,129.87
2011-02-28,1327.22,791.44,7272.32,5994,10624.09,45.34,163.4,385.67,152.6,137.66
2011-03-31,1325.83,793.85,7041.31,5908.8,9755.1,48.19,163.24,382.96,153.14,139.86
2011-04-29,1363.61,816.66,7514.46,6074.23333333333,9926.97,49.5,165.87,385.59,156.24,152.37
2011-05-31,1345.2,805.74,7293.69,5990,9693.73,48.05,169.32,391.7,156.59,149.64
2011-06-30,1320.64,790,7376.24,5945.7,9816.09,47.6,168.78,393.18,155.68,146
2011-07-29,1292.28,771.11,7158.77,5815.2,9833.03,47.11,173.11,400.88,160.44,158.29
2011-08-31,1218.89,723.15,5784.85,5394.5,8955.2,42.75,178.75,411.28,161.15,177.72
2011-09-30,1131.42,665.97,5502.02,5128.5,8700.29,35.1,180.82,414.52,166.46,158.06
2011-10-31,1253.3,741.66,6141.34,5544.2,8988.39,40.81,179.57,415.61,168.35,167.34
2011-11-30,1246.96,737.78,6088.84,5505.4,8434.61,40.01,180.98,413.52,170.68,170.13
