StockIndexAdj,SP500,N225,FTSE100,CAC40,GDAX,HSI
1991-07-31,387.81,24121,2588.8,1754.7,1622.3,4009
1991-08-30,395.43,22336,2645.7,1864.3,1650.5,3998
1991-09-30,387.86,23916,2621.7,1880.6,1607,3956.7
1991-10-31,392.45,25222,2566,1856.7,1582.1,4038.7
1991-11-29,375.22,22687,2420.2,1739.7,1566.6,4149.8
1991-12-30,415.14,22984,2420,1741.9,1578,4275.2
1992-01-31,408.78,22023,2571.2,1875.3,1687.5,4601.8
1992-02-28,412.7,21339,2562.1,1983.4,1745.1,4929.1
1992-03-31,403.69,19346,2440.1,1942.4,1717.9,4938.3
1992-04-30,414.95,17391,2654.1,2031.1,1734,5369.6
1992-05-29,415.35,18348,2707.6,2033.3,1803.2,6080.2
1992-06-30,408.14,15952,2521.2,1900.6,1752.6,6103.9
1992-07-31,424.21,15910,2399.6,1754.7,1615.4,5881.1
1992-08-28,414.84,17971,2312.6,1687.5,1516.5,5628.6
1992-09-30,417.8,17399,2553,1736.7,1466.4,5505.4
1992-10-30,418.68,16767,2658.3,1742.4,1492.3,6190.7
1992-11-30,431.35,17684,2778.8,1771.4,1544.3,5810.6
1992-12-30,438.82,16925,2832.5,1858.8,1545.1,5467.9
1993-01-29,438.78,17024,2807.2,1772.2,1571.9,5751.4
1993-02-26,443.38,16953,2868,1983.7,1684.4,6352
1993-03-31,451.67,18591,2878.7,2031.4,1684.2,6388.9
1993-04-30,440.19,20919,2813.1,1939,1627.2,6830.5
1993-05-28,450.19,20844,2840.7,1888.7,1631.9,7397.9
1993-06-30,450.53,19590,2900,1971.9,1697.6,7099.3
1993-07-30,448.13,20380,2926.5,2085.9,1803.2,6989
1993-08-31,463.56,21027,3100,2216.5,1944.9,7549.7
1993-09-30,458.93,20106,3037.5,2114.6,1915.7,7676.2
1993-10-29,467.83,19703,3171,2182,2069,9329.1
1993-11-30,461.79,16407,3166.9,2110.1,2057.8,9125.2
1993-12-30,468.64,17417,3428.8,2281.2,2266.7,11877.5
1994-01-31,481.61,20229,3491.8,2334.4,2177.5,11487
1994-02-28,467.14,19997,3328.1,2238.1,2091.6,10410.2
1994-03-31,445.77,19112,3086.4,2081.9,2133.1,9029.9
1994-04-28,449.1,19725,3129.9,2150.3,2251.2,9163.1
1994-05-31,456.5,20974,2970.5,2029.9,2127.7,9553.6
1994-06-30,444.27,20644,2919.2,1892,2025.3,8758.4
1994-07-29,458.26,20449,3082.6,2075,2146.6,9482.8
1994-08-31,475.49,20629,3251.3,2069.1,2212.9,9929.4
1994-09-30,462.71,19564,3026.3,1879.3,2011.8,9521.2
1994-10-28,473.77,19805,3083.8,1905.7,2040.3,9379.5
1994-11-30,453.69,19076,3081.4,1975.9,2048.3,8466.3
1994-12-30,459.27,19723,3065.5,1881.2,2106.6,8191
1995-01-30,468.51,18753,2995.9,1813.4,2035,7342.7
1995-02-28,487.39,17053,3009.3,1776.9,2102.2,8327.5
1995-03-31,500.71,16140,3137.9,1859.5,1922.6,8587.7
1995-04-28,514.71,16807,3216.7,1918.5,2015.9,8361
1995-05-31,533.4,15437,3319.4,1948,2092.2,9407.4
1995-06-30,544.75,14517,3314.6,1858.8,2083.9,9206.5
1995-07-31,562.06,16678,3463.3,1920,2218.7,9453.4
1995-08-31,561.88,18117,3477.8,1883.4,2238.3,9179.9
1995-09-29,584.41,17913,3508.2,1788.4,2187,9646.3
1995-10-31,581.5,17655,3529.1,1814,2167.9,9782.4
1995-11-30,605.37,18744,3664.3,1828.3,2242.8,9813.3
1995-12-29,615.93,19868,3689.3,1872,2253.9,10073.4
1996-01-31,636.02,20813,3759.3,2021,2470.1,11359.7
1996-02-29,640.43,20125,3727.6,1990.8,2473.6,11125.7
1996-03-29,645.5,21407,3699.7,2044.8,2485.9,10957.2
1996-04-30,654.17,22041,3817.9,2146.8,2505.3,10964.5
1996-05-31,669.12,21956,3747.8,2110.1,2542.8,11264.7
1996-06-28,670.63,22531,3711,2123.7,2561.4,11020.9
1996-07-31,639.95,20693,3703.2,1995.9,2473.4,10681.4
1996-08-30,651.99,20167,3867.6,1970.6,2543.8,11159
1996-09-30,687.33,21556,3953.7,2132.8,2651.9,11902.4
1996-10-31,705.27,20467,3979.1,2140.5,2659.3,12477.6
1996-11-29,757.02,21020,4058,2315.7,2845.5,13393.9
1996-12-30,753.85,19361,4115.7,2318.6,2888.7,13480.8
1997-01-31,786.16,18330,4275.8,2516.6,3035.2,13321.8
1997-02-28,790.82,18557,4308.3,2607.8,3259.6,13398.7
1997-03-27,773.88,18210,4312.9,2656.7,3429.1,12534.3
1997-04-30,801.34,19151,4436,2639.5,3438.1,12903.3
1997-05-30,848.28,20069,4621.3,2583.9,3562.7,14757.8
1997-06-27,887.3,20524,4640.3,2891,3809.9,15196.8
1997-07-31,954.31,20331,4907.5,3075.7,4405.5,16365.7
1997-08-29,899.47,18229,4817.5,2770.5,3919.8,14135.2
1997-09-30,947.28,17888,5244.2,3008.3,4154.9,15049.3
1997-10-31,914.62,16459,4842.3,2739.3,3753.7,10623.8
1997-11-28,955.4,16633,4831.8,2854.4,3972.1,10526.9
1997-12-30,970.84,15259,5132.3,2975.5,4224.3,10755.2
1998-01-27,969.02,16982,5326.3,3052,4316.1,9252.4
1998-02-27,1049.34,16832,5767.3,3421.9,4693.9,11480.7
1998-03-31,1101.75,16527,5932.2,3875.3,5097.3,11518.7
1998-04-30,1111.75,15641.26,5928.3,3880.92,5107.44,10383.68
1998-05-29,1090.82,15670.78,5870.7,4041.16,5569.08,8934.56
1998-06-30,1133.84,15830.27,5832.5,4203.45,5897.44,8543.1
1998-07-31,1120.67,16378.97,5837,4177.31,5873.92,7936.2
1998-08-28,1027.14,13915.63,5249.4,3708.97,4993.54,7829.74
1998-09-30,1017.01,13406.39,5064.4,3197.95,4474.51,7883.46
1998-10-30,1098.67,13564.51,5438.4,3522.93,4671.12,10154.94
1998-11-30,1163.63,14883.7,5743.9,3843.38,5022.7,10402.32
1998-12-30,1231.93,13842.17,5882.6,3942.66,5002.39,10121.44
1999-01-29,1279.64,14499.25,5896,4251.8,5159.96,9506.9
1999-02-26,1238.33,14367.54,6175.1,4092.94,4911.81,9858.49
1999-03-31,1286.37,15836.59,6295.3,4197.88,4884.2,10942.2
1999-04-30,1335.18,16701.53,6552.2,4405.35,5393.11,13333.2
1999-05-28,1301.84,15972.68,6226.2,4315.04,5068.73,12059.25
1999-06-30,1372.71,17529.74,6318.5,4536.61,5378.52,13532.14
1999-07-30,1328.72,17861.86,6231.9,4382.06,5101.87,13186.86
1999-08-31,1320.41,17436.56,6246.4,4589.22,5270.77,13482.77
1999-09-30,1282.71,17605.46,6029.8,4591.42,5149.83,12733.24
1999-10-29,1362.93,17942.08,6255.7,4888.62,5525.4,13256.95
1999-11-30,1388.91,18558.23,6597.2,5341.62,5896.04,15377.19
1999-12-30,1464.47,18934.34,6930.2,5958.32,6958.14,16962.1
2000-01-31,1394.46,19539.7,6268.5,5659.81,6835.6,15532.34
2000-02-29,1366.42,19959.52,6232.6,6190.96,7644.55,17169.44
2000-03-31,1498.58,20337.32,6540.2,6286.05,7599.39,17406.54
2000-04-28,1452.43,17973.7,6327.4,6419.72,7414.68,15519.3
2000-05-31,1420.6,16332.45,6359.3,6426.26,7109.67,14713.86
2000-06-30,1454.6,17411.05,6312.7,6446.54,6882.44,16155.78
2000-07-31,1430.83,15727.49,6365.3,6542.49,7190.37,16840.98
2000-08-31,1517.68,16861.26,6672.7,6625.42,7244.79,17097.51
2000-09-29,1436.51,15747.26,6294.2,6266.63,6798.12,15648.98
2000-10-31,1429.4,14539.6,6438.4,6397.66,7077.44,14895.34
2000-11-30,1314.95,14648.51,6142.2,5928.08,6372.33,13984.39
2000-12-29,1320.28,13785.69,6222.5,5926.42,6433.61,15095.53
2001-01-31,1366.01,13843.55,6297.5,5998.49,6795.14,16102.35
2001-02-28,1239.94,12883.54,5917.9,5367.48,6208.24,14787.87
2001-03-30,1160.33,12999.7,5633.7,5180.45,5829.95,12760.64
2001-04-27,1253.05,13934.32,5951.4,5575.97,6175.24,13386.04
2001-05-31,1255.82,13262.14,5796.1,5454.19,6123.26,13174.41
2001-06-29,1224.38,12969.05,5642.5,5225.33,6058.38,13042.53
2001-07-31,1211.23,11860.77,5529.1,5085.51,5861.19,12316.69
2001-08-31,1133.58,10713.51,5345,4689.34,5188.17,11090.48
2001-09-28,1040.94,9774.68,4903.4,4079.02,4308.15,9950.7
2001-10-31,1059.78,10366.34,5039.7,4341.29,4559.13,10073.97
2001-11-30,1139.45,10697.44,5203.6,4476.06,4989.91,11279.25
2001-12-28,1161.02,10542.62,5242.4,4624.58,5160.1,11431.59
2002-01-31,1130.2,9997.8,5164.8,4461.87,5107.61,10725.3
2002-02-28,1106.73,10587.83,5101,4462.99,5039.08,10482.55
2002-03-28,1147.39,11333.11,5271.8,4688.02,5397.29,11032.92
2002-04-30,1076.92,11492.54,5165.6,4462.74,5041.2,11497.58
2002-05-31,1067.14,11763.7,5085.1,4274.64,4818.3,11301.94
2002-06-28,989.82,10621.84,4656.4,3897.99,4382.56,10598.55
2002-07-31,911.62,9877.94,4246.2,3415.38,3700.14,10267.36
2002-08-30,916.07,9619.3,4227.3,3366.21,3712.94,10043.87
2002-09-30,815.28,9383.29,3721.8,2777.45,2769.03,9072.21
2002-10-31,885.76,8640.48,4039.7,3150.04,3152.85,9441.25
2002-11-29,936.31,9215.56,4169.4,3326.65,3320.32,10069.87
2002-12-30,879.39,8578.95,3900.6,3025.14,2892.63,9272.33
2003-01-30,844.61,8316.81,3578.7,2914.13,2693.78,9258.95
2003-02-28,841.15,8363.04,3655.6,2754.07,2547.05,9122.66
2003-03-31,848.18,7972.71,3613.3,2618.46,2423.87,8634.45
2003-04-30,916.92,7831.42,3926,2953.67,2942.04,8717.22
2003-05-30,963.59,8424.51,4048.1,2991.75,2982.68,9487.38
2003-06-30,974.5,9083.11,4031.2,3084.1,3220.58,9577.12
2003-07-31,990.31,9563.21,4157,3210.27,3487.86,10134.83
2003-08-29,1008.01,10343.55,4161.1,3311.42,3484.58,10908.99
2003-09-30,995.97,10219.05,4091.3,3134.99,3256.78,11229.87
2003-10-31,1050.71,10559.59,4287.6,3373.2,3655.99,12190.1
2003-11-28,1058.2,10100.57,4342.6,3424.79,3745.95,12317.47
2003-12-30,1109.64,10676.64,4470.4,3529.18,3965.16,12526.74
2004-01-30,1131.13,10783.61,4390.7,3638.44,4058.6,13289.37
2004-02-27,1144.94,11041.92,4492.2,3725.44,4018.16,13907.03
2004-03-31,1126.21,11715.39,4385.7,3625.23,3856.7,12681.67
2004-04-30,1107.3,11761.79,4489.7,3674.28,3985.21,11942.96
2004-05-28,1120.68,11309.57,4430.7,3652.03,3902.72,12116.87
2004-06-30,1140.84,11858.87,4464.1,3732.99,4052.73,12285.75
2004-07-30,1101.72,11325.78,4413.1,3647.1,3895.61,12238.03
2004-08-31,1104.24,11081.79,4459.3,3594.28,3785.21,12850.28
2004-09-30,1114.58,10823.57,4570.8,3640.61,3892.9,13120.03
2004-10-29,1130.2,10771.42,4624.2,3706.82,3960.25,13054.66
2004-11-30,1173.82,10899.25,4703.2,3753.75,4126,14060.05
2004-12-30,1213.55,11488.76,4820.1,3827.95,4256.08,14163.55
2005-01-31,1181.27,11387.59,4852.3,3913.69,4254.85,13721.69
2005-02-28,1203.6,11740.6,4968.5,4027.16,4350.49,14195.35
2005-03-31,1180.59,11668.95,4894.4,4067.78,4348.77,13516.88
2005-04-28,1143.22,11008.9,4790.2,3911.45,4178.1,13909.42
2005-05-31,1191.5,11276.59,4964,4120.73,4460.63,13867.07
2005-06-30,1191.33,11584.01,5113.2,4229.35,4586.28,14201.06
2005-07-29,1234.18,11899.6,5282.3,4451.74,4886.5,14880.98
2005-08-31,1220.33,12413.6,5296.9,4399.36,4829.69,14903.55
2005-09-30,1228.81,13574.3,5477.7,4600.02,5044.12,15428.52
2005-10-31,1207.01,13606.5,5317.3,4436.45,4929.07,14386.37
2005-11-30,1249.48,14872.15,5423.2,4567.41,5193.4,14937.14
2005-12-30,1248.29,16111.43,5618.8,4715.23,5408.26,14876.43
2006-01-27,1283.72,16460.68,5786.8,4956.6,5647.42,15753.14
2006-02-28,1280.66,16205.43,5791.5,5000.45,5796.04,15918.48
2006-03-31,1294.87,17059.66,5964.6,5220.85,5970.08,15805.04
2006-04-28,1310.61,16906.23,6023.1,5188.4,6009.89,16661.3
2006-05-30,1259.87,15859.45,5652,4893.87,5622.43,15857.89
2006-06-30,1270.2,15505.18,5833.4,4965.96,5683.31,16267.62
2006-07-31,1276.66,15456.81,5928.3,5009.42,5681.97,16971.34
2006-08-31,1303.82,16140.76,5906.1,5165.04,5859.57,17392.27
2006-09-29,1335.85,16127.58,5960.8,5250.01,6004.33,17543.05
2006-10-31,1377.94,16399.39,6129.2,5348.73,6268.92,18324.35
2006-11-30,1400.63,16274.33,6048.8,5327.64,6309.19,18960.48
2006-12-29,1418.3,17225.83,6220.8,5541.76,6596.92,19964.72
2007-01-31,1438.24,17383.42,6203.1,5608.31,6789.11,20106.42
2007-02-28,1406.82,17604.12,6171.5,5516.32,6715.44,19651.51
2007-03-30,1420.86,17287.65,6308,5634.16,6917.03,19800.93
2007-04-27,1494.07,17400.41,6418.7,5930.77,7378.12,20526.5
2007-05-31,1530.62,17875.75,6621.4,6104,7883.04,20634.47
2007-06-29,1503.35,18138.36,6607.9,6054.93,8007.32,21772.73
2007-07-31,1455.27,17248.89,6360.1,5751.08,7584.14,23184.94
2007-08-31,1473.99,16569.09,6303.3,5662.7,7638.17,23984.14
2007-09-28,1526.75,16785.69,6466.8,5715.69,7861.51,27142.47
2007-10-31,1549.38,16737.63,6721.6,5847.95,8019.22,31352.58
2007-11-30,1481.14,15680.67,6432.5,5670.57,7870.52,28643.61
2007-12-28,1478.49,15307.78,6476.9,5627.25,8067.32,27370.6
2008-01-31,1378.55,13592.47,5879.8,4869.79,6851.75,23455.74
2008-02-29,1330.63,13603.02,5884.3,4790.66,6748.13,24331.67
2008-03-31,1322.7,12525.54,5702.1,4707.07,6534.97,22849.2
2008-04-30,1385.59,13849.99,6087.3,4996.54,6948.82,25755.35
2008-05-30,1400.38,14338.54,6053.5,5014.28,7096.79,24533.12
2008-06-30,1280,13481.38,5625.9,4434.85,6418.32,22102.01
2008-07-31,1267.38,13376.81,5411.9,4392.36,6479.56,22731.1
2008-08-29,1282.83,13072.87,5636.6,4482.6,6422.3,21261.89
2008-09-30,1166.36,11259.86,4902.5,4032.1,5831.02,18016.21
2008-10-31,968.75,8576.98,4377.3,3487.07,4987.97,13968.67
2008-11-28,896.24,8512.27,4288,3262.68,4669.44,13888.24
2008-12-30,890.64,8859.56,4392.7,3217.13,4810.2,14235.5
2009-01-30,825.88,7994.05,4149.6,2973.92,4338.35,13278.21
2009-02-27,735.09,7568.42,3830.1,2702.48,3843.74,12811.57
2009-03-31,797.87,8109.53,3926.1,2807.34,4084.76,13576.02
2009-04-30,872.81,8828.26,4243.7,3159.85,4769.45,15520.99
2009-05-29,919.14,9522.5,4417.9,3277.65,4940.82,18171
2009-06-30,919.32,9958.44,4249.2,3140.44,4808.64,18378.73
2009-07-31,987.48,10356.83,4608.4,3426.27,5332.14,20573.33
2009-08-28,1028.93,10534.14,4908.9,3693.14,5517.35,20098.62
2009-09-30,1057.08,10133.23,5133.9,3795.41,5675.16,20955.25
2009-10-30,1036.19,10034.74,5044.5,3607.69,5414.96,21752.87
2009-11-30,1095.63,9345.55,5190.7,3680.15,5625.95,21821.5
2009-12-30,1126.42,10546.44,5397.9,3935.5,5957.43,21496.62
2010-01-29,1073.87,10198.04,5188.5,3739.46,5608.79,20121.99
2010-02-26,1104.49,10126.03,5354.5,3708.8,5598.46,20608.7
2010-03-31,1169.43,11089.94,5679.6,3974.01,6153.55,21239.35
2010-04-30,1186.69,11057.4,5553.3,3816.99,6135.7,21108.59
2010-05-28,1089.41,9762.98,5188.4,3515.06,5946.18,19766.71
2010-06-30,1030.71,9382.64,4916.9,3442.89,5965.52,20128.99
2010-07-30,1101.6,9537.3,5258,3643.14,6147.97,21029.81
2010-08-31,1049.33,8824.06,5225.2,3490.79,5925.22,20536.49
2010-09-30,1141.2,9369.35,5548.6,3715.18,6229.02,22358.17
2010-10-29,1183.26,9202.45,5675.2,3833.5,6601.37,23096.32
2010-11-30,1180.55,9937.04,5528.3,3610.44,6688.49,23007.99
2010-12-30,1257.88,10228.92,5971,3850.76,6914.19,22999.34
2011-01-31,1286.12,10237.92,5862.9,4005.5,7077.48,23447.34
2011-02-28,1327.22,10624.09,5994,4110.35,7272.32,23338.02
2011-03-31,1325.83,9755.1,5908.8,3989.18,7041.31,23527.52
2011-04-28,1360.48,9849.74,6069.9,4104.9,7475.22,23805.63
2011-05-31,1345.2,9693.73,5990,4006.94,7293.69,23684.13
2011-06-30,1320.64,9816.09,5945.7,3982.21,7376.24,22398.1
